,GEM plant ID,Plant name (English),Plant name (other language),Other plant names (English),Other plant names (other language),Owner,Owner (other language),Owner GEM entity ID,Owner PermID,SOE status,Parent (English),Parent GEM entity ID,Parent PermID,Location address,Location address (other language),Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,GEM wiki page,Plant age,Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Steel products,Steel sector end users,Workforce size,ISO 14001,ISO 50001,ResponsibleSteel certification,Main production equipment,Power source,Iron ore source,Met coal source,latitude,longitude,Plant age (years),total_capacity,Lat,Lon,geometry
14,P100000120757,African Natural Resources and Mines Kaduna steel plant,,"African Industries Group, ANRML Kaduna Steel Plant",,African Natural Resources & Mines Ltd,,E100000131098,unknown,,African Industries Ltd,E100000131145,5082505395,"Gujeni village, Kagarko, Kaduna, Nigeria",,Kagarko,Kaduna State,Nigeria,Africa,"9.4627150, 7.3680000",exact,https://www.gem.wiki/African_Natural_Resources_and_Mines_Kaduna_steel_plant,1.45,2012,unknown,2024-09-07 00:00:00,unknown,unknown,unknown,,,,5400.0,"semi-finished, finished rolled","rebar, sections, plate, rod, mesh, pipe, billet, wire",unknown,3500,unknown,unknown,no,DRI; Steel other/unspecified,36 mw captive power plant,ANRML iron ore mine on-site (P100000129459),unknown,9.462715,7.368,1.45,5400.0,9.4627150,7.3680000,POINT (7.368 9.462715)
22,P100000120756,Ajaokuta Steel plant,,,,Ajaokuta Steel Co Ltd,,E100000002408,5040059767,Full,Ajaokuta Steel Co Ltd [100.0%],E100000002408 [100.0%],5040059767 [100.0%],"Ajaokuta Steel Company Ltd, 263106, Ajaokuta, Nigeria",,Ajaokuta,Kogi State,Nigeria,Africa,"7.5113360, 6.6893640",exact,https://www.gem.wiki/Ajaokuta_Steel_plant,unknown,unknown,1979,unknown,unknown,1994,unknown,,2610.0,880.0,,"semi-finished, finished rolled","rebar, sections, square, rod, billet, channel, angle, beam",unknown,10000,no,no,no,BF; BOF,Captive Power Plant (110 mw),Itakpe Iron Ore Mine,unknown,7.511336,6.689364,,3490.0,7.5113360,6.6893640,POINT (6.689364 7.511336)
23,P100000121166,Aktobe Generatsiya steel plant,Cталеплавильный завод ТОО «Актобе Генерация»,Aktobe Generatsia steel plant,,Aktobe Generatsiya LLC,"""АКТОБЕ ГЕНЕРАЦИЯ"" ЖШС",E100001012067,unknown,,Aktobe Generatsiya LLC [100.0%],E100001012067 [100.0%],unknown [100.0%],"Aktobe, Kazakhstan",,Aktobe,Aktobe,Kazakhstan,Eurasia,"50.3551170, 57.1451190",approximate,https://www.gem.wiki/Aktobe_Generatsiya_steel_plant,0.05,2022,unknown,unknown,unknown,unknown,unknown,,1300.0,,,"crude, semi-finished","bloom, billet",unknown,2600,unknown,unknown,no,BF; BOF,Captive combined gas-fired power plant,unknown,unknown,50.355117,57.145119,0.05,1300.0,50.3551170,57.1451190,POINT (57.145119 50.355117)
25,P100000120835,Al Ittefaq Arab Steel Dammam plant,حديد الإتفاق,"ISPC, Arab Steel, ASCO",الشركة العريبة للحديد,Arab Steel Co,,E100000131037,5050911102,,Hilal Al-Tuwairqi [60.0%]; unknown [40.0%],E100001016122 [60.0%]; E100000132388 [40.0%],unknown [60.0%]; unknown [40.0%],"Dammam, 31472, Saudi Arabia",,Dammam,Eastern Province,Saudi Arabia,Middle East,"26.2779170, 49.9491770",exact,https://www.gem.wiki/Al_Ittefaq_Arab_Steel_Dammam_plant,37,unknown,unknown,1989,unknown,unknown,unknown,,,,2500.0,"semi-finished, finished rolled","cold rolled, wire, mesh",unknown,350,2023-01-09 00:00:00,2024-04-04 00:00:00,no,DRI; EAF,unknown,unknown,unknown,26.277917,49.949177,37.0,2500.0,26.2779170,49.9491770,POINT (49.949177 26.277917)
29,P100000120905,Alchevsk Metallurgical Plant,Алчевский металлургический комбинат,"AMK, Alchevsk Iron & Steel plant","Алчевський металургійний комбінат, Алчевський МК (Ukranian), Алчевский МК",Alchevsk Metallurgical Plant PJSC,"ПАТ ""АЛЧЕВСЬКИЙ МЕТАЛУРГІЙНИЙ КОМБІНАТ""",E100001012119,5000049750,,Southern Mining and Metallurgical Complex LLC,E100000130963,5001424076,"Schmidt St. 4, Alchevsk, Luhansk oblast, Ukraine, 94200","Шмидта ул. 4, Alchevs'k, Луганская, Ukraine, 94200",Alchevsk,Luhansk,Ukraine,Europe,"48.4781110, 38.7707870",exact,https://www.gem.wiki/Alchevsk_Metallurgical_Plant,130,unknown,unknown,1896,unknown,unknown,unknown,,5400.0,989.0,,"semi-finished, finished rolled","shapes, slab, billet, channel, beam","building and infrastructure, energy, tools and machinery, transport",10000,unknown,unknown,no,BF; BOF,unknown,unknown,unknown,48.478111,38.770787,130.0,6389.0,48.4781110,38.7707870,POINT (38.770787 48.478111)
34,P100000120750,Alliance Steel Kuantan plant,,"ASSB plant, MCKIP plant, Kawasan Industri Malaysia-China Kuantan plant",,Alliance Steel (M) Sdn Bhd,,E100000131062,5071171452,Partial,Guangxi Beibu Gulf International Port Group Co Ltd [50.0%]; Guangxi Shenglong Metallurgical Co Ltd [50.0%],E100000127970 [50.0%]; E100000123226 [50.0%],5000910985 [50.0%]; 5000577864 [50.0%],"Kawasan Industri Malaysia-China Kuantan (MCKIP), Jalan Gebeng By Pass, 26080 Kuantan, Pahang Darul Makmur, Malaysia",,Kuantan,Pahang,Malaysia,Asia Pacific,"4.0075950, 103.3444580",exact,https://www.gem.wiki/Alliance_Steel_Kuantan_plant,9,2013-02-01 00:00:00,2014-12-01 00:00:00,2017,unknown,unknown,unknown,,,1100.0,720.0,finished rolled,"wire rod, h-beam, bar",building and infrastructure,3500,unknown,unknown,no,BF; BOF; Iron other/unspecified; Steel other/unspecified,unknown,Imported from Brazil and Australia,unknown,4.007595,103.344458,9.0,1820.0,4.0075950,103.3444580,POINT (103.344458 4.007595)
37,P100000120724,Altos Hornos De Mexico SA (AHMSA) steel plant,Siderúrgica Altos Hornos De Mexico S.A. (AHMSA),AHMSA steel plant,,Altos Hornos de Mexico SAB de CV,,E100001010310,4295884289,,Grupo Acerero del Norte SA de CV [64.0%]; small shareholder(s) [36.0%],E100000131250 [64.0%]; E100001015587 [36.0%],4296535922 [64.0%]; unknown [36.0%],"Prolongación Juárez S/N Col. La Loma, CP. 25770 Monclova, Coahuila, Mexico",,Monclova,Coahuila,Mexico,North America,"26.8768890, -101.4166120",exact,https://www.gem.wiki/Altos_Hornos_De_Mexico_SA_(AHMSA)_steel_plant,82,unknown,unknown,1944,unknown,2022-12-01 00:00:00,unknown,,2263.0,821.0,4200.0,"semi-finished, finished rolled","sheet, profile, plate","building and infrastructure, steel packaging, tools and machinery",7366,unknown,unknown,no,BF; BOF; EAF,40 MW onsite gas-fired power plant (generates more than 50% of steel plant's electricity),MINOSA & CEMESA Mexican iron mining subsidiaries,MICARE & MIMOSA Mexican coal-mining subsidiaries,26.876889,-101.416612,82.0,7284.0,26.8768890,-101.4166120,POINT (-101.416612 26.876889)
42,P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,安钢集团信阳钢铁有限责任公司,,,"Xinyang Iron & Steel Co.,ltd of Angang Group",安钢集团信阳钢铁有限责任公司,E100000127277,unknown,Partial,natural person(s) [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; unknown [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],E100000123261 [65.2%]; E100000127609 [15.8%]; E100000132388 [10.4%]; E100000125158 [8.6%],unknown [65.2%]; unknown [15.8%]; unknown [10.4%]; unknown [8.6%],No. 34 Xinmin Road,河南省信阳市平桥区明港镇新民路34号,Minggang,Henan,China,Asia Pacific,"32.4887040, 114.0382430",exact,https://www.gem.wiki/Angang_Group_Xinyang_Iron_and_Steel_Co_Ltd,55,unknown,unknown,1971,unknown,unknown,unknown,,,600.0,,finished rolled,"rebar, strip, billet, rounds, slab",unknown,3711,2022-11-01 00:00:00,2024-11-11 00:00:00,no,BF; BOF,unknown,unknown,unknown,32.488704,114.038243,55.0,600.0,32.4887040,114.0382430,POINT (114.038243 32.488704)
46,P100000120070,Anhui Changjiang Steel Co Ltd,龙山桥钢铁总厂,Longshanqiao Iron and Steel Plant (predecessor),安徽长江钢铁股份有限公司,Anhui Changjiang Steel Co Ltd,安徽长江钢铁股份有限公司,E100000123155,unknown,,Maanshan Iron & Steel Co Ltd [55.0%]; natural person(s) [37.2%]; unknown [7.8%],E100000123737 [55.0%]; E100000123261 [37.2%]; E100000132388 [7.8%],4295864332 [55.0%]; unknown [37.2%]; unknown [7.8%],Longshanqiao Industrial Park,马鞍山市当涂县龙山桥工业园,unknown,Anhui,China,Asia Pacific,"31.5022720, 118.4651620",exact,https://www.gem.wiki/Anhui_Changjiang_Steel_Co_Ltd,23,unknown,unknown,2003,unknown,unknown,unknown,,1375.0,,,finished rolled,"rebar, wire","building and infrastructure, transport",3705,2023-02-23 00:00:00,2024-12-27 00:00:00,no,BF; BOF; EAF,3.5 MW Rooftop Distributed Photovoltaic Power Generation,unknown,unknown,31.502272,118.465162,23.0,1375.0,31.5022720,118.4651620,POINT (118.465162 31.502272)
52,P100000120313,Anhui Shoukuang Dachang Metal Material Co Ltd,安徽首矿大昌金属材料有限公司,"Lu'an Iron and Steel Holding Group Special Steel Co., Ltd.",六安钢铁控股集团旗下安徽首矿大昌金属材料有限公司,Anhui Shoukuang Dachang Metal Material Co Ltd,安徽首矿大昌金属材料有限公司,E100000126761,unknown,,CSCEC Rongdong Investment Holding Co Ltd [89.0%]; Fang TongZhou Holding Co Ltd [7.9%]; unknown [3.1%],E100000128793 [89.0%]; E100000128301 [7.9%]; E100000132388 [3.1%],unknown [89.0%]; unknown [7.9%]; unknown [3.1%],"Economic Development Zone, Huoqiu Couty, Liuan City, Anhui Province",六安市霍邱县经济开发区,liuan,Anhui,China,Asia Pacific,"32.3291710, 115.9549630",exact,https://www.gem.wiki/Anhui_Shoukuang_Dachang_Metal_Material_Co_Ltd,16,unknown,unknown,2010,unknown,unknown,unknown,,,1200.0,,finished rolled,"bar, coil, wire, hot rolled","automotive, tools and machinery",3955,2024-12-12 00:00:00,2023-12-29 00:00:00,no,BF; BOF,Ultra-high Temperature Subcritical Coal Gas Power Generation Unit,Huoqiu Iron Mine,unknown,32.329171,115.954963,16.0,1200.0,32.3291710,115.9549630,POINT (115.954963 32.329171)
55,P100000120231,Anshan Baode Iron and Steel Co Ltd,鞍山宝得钢铁有限公司,,,Anshan Baode Iron & Steel Co Ltd,鞍山宝得钢铁有限公司,E100000126417,unknown,,Anshan Baode Iron & Steel Co Ltd [100.0%],E100000126417 [100.0%],unknown [100.0%],Chengang Street,辽宁省鞍山市千山区鞍腾路1号,unknown,Liaoning,China,Asia Pacific,"41.1736130, 122.9455010",exact,https://www.gem.wiki/Anshan_Baode_Iron_and_Steel_Co_Ltd,26.73,unknown,unknown,1999-05-28 00:00:00,unknown,unknown,unknown,,2395.0,,,finished rolled,"i-beam, angle, h-beam","automotive, building and infrastructure, tools and machinery",2235,2025-05-15 00:00:00,2022-04-06 00:00:00,no,BF; BOF,A 45-megawatt surplus energy supercritical temperature and supercritical pressure power station,unknown,unknown,41.173613,122.945501,26.73,2395.0,41.1736130,122.9455010,POINT (122.945501 41.173613)
70,P100000120426,ArcelorMittal Bremen steel plant,,"Klöckner Hütte Bremen (predecessor), Stahlwerke Bremen (predecessor), Norddeutsche Hütte (predecessor), Einheitliche Anlage Bremen",,ArcelorMittal Bremen GmbH,,E100001000494,5000040557,,ArcelorMittal SA [100.0%],E100000000687 [100.0%],5000030092 [100.0%],"Carl-Benz-Strasse 30, D-28237 Bremen, Germany",,Bremen,Bremen,Germany,Europe,"53.1333050, 8.6881930",exact,https://www.gem.wiki/ArcelorMittal_Bremen_steel_plant,69,unknown,unknown,1957,unknown,unknown,unknown,,2100.0,2000.0,,finished rolled,"cold rolled, coil, coated, hot rolled, galvanized","automotive, building and infrastructure, energy, steel packaging, tools and machinery, transport",3100,2024-08-25 00:00:00,2024-08-25 00:00:00,2027-07-18 00:00:00,BF; BOF; DRI; EAF,WindSeeG project,unknown,Prosper-Haniel Mine,53.133305,8.688193,69.0,4100.0,53.1333050,8.6881930,POINT (8.688193 53.133305)
76,P100000120472,ArcelorMittal Dunkerque steel plant,,"ArcelorMittal Dunkirk, ArcelorMittal Atlantique et Lorraine - Dunkerque",,ArcelorMittal Atlantique et Lorraine SAS,,E100001000487,4298163524,,ArcelorMittal Atlantique et Lorraine SAS [100.0%],E100001000487 [100.0%],4298163524 [100.0%],"ArcelorMittal Atlantique et Lorraine, site Dunkerque, rue du Comte Jean, Grande Synthe 2508, 59381 Dunkerque Cedex 1, France",,Dunkerque,Haus-de-France,France,Europe,"51.0412740, 2.2929480",exact,https://www.gem.wiki/ArcelorMittal_Dunkerque_steel_plant,63,unknown,unknown,1963,unknown,unknown,unknown,,9600.0,1380.0,,"semi-finished, finished rolled","slab, coil, hot rolled","automotive, steel packaging, tools and machinery",3200,2024-09-13 00:00:00,no,2028-05-10 00:00:00,BF; BOF; EAF; DRI,unknown,unknown,unknown,51.041274,2.292948,63.0,10980.0,51.0412740,2.2929480,POINT (2.292948 51.041274)
77,P100000120425,ArcelorMittal Eisenhüttenstadt steel plant,,"Eisenhuttenkombinat 'J.W. Stalin' (predecessor), Eisenhüttenkombinat Ost (EKO) (predecessor)",,ArcelorMittal Eisenhüttenstadt GmbH,,E100000002453,4298356410,,ArcelorMittal SA [100.0%],E100000000687 [100.0%],5000030092 [100.0%],"ArcelorMittal Eisenhüttenstadt GmbH, 15888 Eisenhüttenstadt, Germany",,Eisenhüttenstadt,Brandenburg,Germany,Europe,"52.1686490, 14.6234730",exact,https://www.gem.wiki/ArcelorMittal_Eisenhüttenstadt_steel_plant,76,unknown,unknown,1950,unknown,unknown,unknown,,2900.0,,,"semi-finished, finished rolled","galvanized, plate, coated, cold rolled, hot rolled, slab","automotive, building and infrastructure, energy, steel packaging, tools and machinery, transport",2700,2023-05-15 00:00:00,2023-05-15 00:00:00,2028-03-30 00:00:00,BF; BOF; DRI; EAF,WindSeeG project,unknown,unknown,52.168649,14.623473,76.0,2900.0,52.1686490,14.6234730,POINT (14.623473 52.168649)
79,P100000120475,ArcelorMittal Florange steel plant,,,,ArcelorMittal Atlantique et Lorraine SAS,,E100001000487,4298163524,,ArcelorMittal Atlantique et Lorraine SAS [100.0%],E100001000487 [100.0%],4298163524 [100.0%],"ArcelorMittal Atlantique et Lorraine, Florange site, 17, avenue des Tilleuls, 57190 Florange, France",,Florange,Grand Est,France,Europe,"49.3317220, 6.1431070",exact,https://www.gem.wiki/ArcelorMittal_Florange_steel_plant,112,unknown,unknown,1906,unknown,2013,2018,,4400.0,700.0,,"semi-finished, finished rolled","slab, coil, hot rolled",unknown,2300,unknown,yes,2028-05-10 00:00:00,BF; BOF,unknown,unknown,unknown,49.331722,6.143107,112.0,5100.0,49.3317220,6.1431070,POINT (6.143107 49.331722)
80,P100000120027,ArcelorMittal Gent steel plant,,ArcelorMittal Ghent,,ArcelorMittal SA,,E100000000687,5000030092,,ArcelorMittal SA [100.0%],E100000000687 [100.0%],5000030092 [100.0%],"John Kennedylaan 51, B-9042 Gent, Belgium",,Gent,Vlaanderen,Belgium,Europe,"51.1699290, 3.8044620",exact,https://www.gem.wiki/ArcelorMittal_Gent_steel_plant,60,unknown,unknown,1966,unknown,unknown,unknown,,6935.0,1200.0,,"semi-finished, finished rolled","pipe, billet, rail, slab","automotive, building and infrastructure, energy, steel packaging, tools and machinery, transport",1933,2023,2024,2027-07-18 00:00:00,BF; BOF; DRI; EAF,Committed to purchasing all electricity generated at the Storm wind farm being built on the site for the next 20 years .,unknown,unknown,51.169929,3.804462,60.0,8135.0,51.1699290,3.8044620,POINT (3.804462 51.169929)
84,P100000120906,ArcelorMittal Kryvyi Rih steel plant,АрселорМіттал Кривий Ріг (Ukranian),"ArcelorMittal Kryvyi Rig, Public Joint Stock Company, Kryvorizhstal, Kryvorizhstal, JSC Kryvyi Rih Mining and Metallurgical Integrated Works (predecessor)",АрселорМиттал Кривой Рог,ArcelorMittal Kryvyi Rih PJSC,АрселорМіттал Кривий Ріг,E100001000500,5000002280,,ArcelorMittal SA [95.1%]; small shareholder(s) [4.9%],E100000000687 [95.1%]; E100001015587 [4.9%],5000030092 [95.1%]; unknown [4.9%],"Kryvorizhstal St. (Ordzhonikidze), 1, Kryvyi Rih, Dnepropetrovsk region, Ukraine, 50095",,Kryvyi Rih,Dnipropetrovsk,Ukraine,Europe,"47.8744110, 33.3929930",exact,https://www.gem.wiki/ArcelorMittal_Kryvyi_Rih_steel_plant,92,unknown,unknown,1934,unknown,unknown,unknown,,1095.0,1250.0,,"semi-finished, finished rolled","shapes, wire rod, rebar, sections, coke, square, strip, bar, billet, rounds, sinter, angle","building and infrastructure, tools and machinery",22000,expired,expired,no,BF; BOF; Steel other/unspecified,Central power plant on site,"Has iron ore underground mining office, open-pit mining on site",unknown,47.874411,33.392993,92.0,2345.0,47.8744110,33.3929930,POINT (33.392993 47.874411)
85,P100000120725,ArcelorMittal Lázaro Cárdenas steel plant,Siderúrgica Lázaro Cárdenas,"Las Truchas, Sicartsa (predecessor)",,ArcelorMittal México SA de CV,,E100001000501,5000020014,,ArcelorMittal SA [100.0%],E100000000687 [100.0%],5000030092 [100.0%],"Av. Francisco J. Múgica No. 1, Col. Centro, CP 60950, Cd. Lázaro Cárdenas, Michoacán, Mexico",,Lázaro Cárdenas,Michoacán,Mexico,North America,"17.9306880, -102.2014980",exact,https://www.gem.wiki/ArcelorMittal_Lázaro_Cárdenas_steel_plant,49.29,unknown,unknown,1976-11-04 00:00:00,unknown,unknown,unknown,,,,1300.0,"semi-finished, finished rolled","slab, wire rod, rod, billet","automotive, building and infrastructure, energy, steel packaging, tools and machinery, transport",8000,yes,unknown,no,BF; BOF; DRI; EAF,unknown,ArcelorMittal Las Truchas is a mining site in Lázaro Cárdenas that produces 3000 thousand metric tons per annum,unknown,17.930688,-102.201498,49.29,1300.0,17.9306880,-102.2014980,POINT (-102.201498 17.930688)
87,P100000120473,ArcelorMittal Méditerranée Fos sur Mer steel plant,,"Sollac-Méditerranée, Société Lorraine de Laminage Continu, For-Sur Mer",,ArcelorMittal Méditerranée SAS,,E100000002454,4298162738,,ArcelorMittal SA [100.0%],E100000000687 [100.0%],5000030092 [100.0%],"ArcelorMittal Fos-sur-Mer, 13776 Fos-sur-Mer Cedex, France",,Fos-Sur-Mer,Provence-Alpes-Côte d'Azur,France,Europe,"43.4328300, 4.8871660",exact,https://www.gem.wiki/ArcelorMittal_Méditerranée_Fos_sur_Mer_steel_plant,52,unknown,unknown,1974,unknown,unknown,unknown,,6800.0,1650.0,,"semi-finished, finished rolled","slab, coil, hot rolled","automotive, building and infrastructure, energy, steel packaging, tools and machinery, transport",2500,yes,yes,2025-05-01 00:00:00,BOF; EAF; BF,unknown,unknown,unknown,43.43283,4.887166,52.0,8450.0,43.4328300,4.8871660,POINT (4.887166 43.43283)
88,P100000120035,ArcelorMittal Monlevade steel plant,"ArcelorMittal Aços Longos , Companhia Siderúrgica Belgo-Mineira (Portuguese, predecessor)","João Monlevade steel plant, Belgo steel plant (predecessor)",,ArcelorMittal Brasil SA,,E100001000493,4295859712,,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],5000030092 [97.1%]; unknown [2.9%],"Av. Getúlio Vargas, 100, Santa Bárbara, João Monlevade, Minas Gerais, 35930-150, Brazil",,João Monlevade,Minas Gerais,Brazil,Central & South America,"-19.8321290, -43.1301640",exact,https://www.gem.wiki/ArcelorMittal_Monlevade_steel_plant,89,unknown,unknown,1937,unknown,unknown,unknown,,1827.0,,,finished rolled,"cord, wire rod",automotive,975,2023-03-25 00:00:00,unknown,2025-12-19 00:00:00,BF; BOF; EAF,unknown,unknown,unknown,-19.832129,-43.130164,89.0,1827.0,-19.8321290,-43.1301640,POINT (-43.130164 -19.832129)
90,P100000121027,ArcelorMittal Newcastle Steel Works,,ArcelorMittal South Africa Long Steel Products,,ArcelorMittal South Africa Ltd,,E100001000504,4295888528,Partial,ArcelorMittal South Africa Ltd [100.0%],E100001000504 [100.0%],4295888528 [100.0%],"Iscor Road, Newcastle, Kwazulu Natal Province, South Africa",,Newcastle,Kwazulu Natal,South Africa,Africa,"-27.7053760, 30.0140630",exact,https://www.gem.wiki/ArcelorMittal_Newcastle_Steel_Works,54.84,unknown,unknown,1971,2025-01-07 00:00:00,unknown,2025-11-04 00:00:00,,2200.0,945.0,,"semi-finished, finished rolled","wire rod, rail, rebar, square, channel, billet, rounds, flat, angle, profile",unknown,1896,yes,unknown,no,EAF; BF; BOF,unknown,unknown,unknown,-27.705376,30.014063,54.84,3145.0,-27.7053760,30.0140630,POINT (30.014063 -27.705376)
93,P100000120513,ArcelorMittal Nippon Steel Hazira plant,,"Essar Steel (predecessor), ESIL (predecessor), AM/NS Essar Steel India Limited steel plant",,ArcelorMittal Nippon Steel India Ltd,,E100000002455,5082050876,,ArcelorMittal SA [60.0%]; Nippon Steel Corp [40.0%],E100000000687 [60.0%]; E100000000652 [40.0%],5000030092 [60.0%]; 4295877313 [40.0%],"27 KM, Surat-Hazira, Gujarat 394270 India",,Hazira,Gujarat,India,Asia Pacific,"21.1123770, 72.6473040",exact,https://www.gem.wiki/ArcelorMittal_Nippon_Steel_Hazira_plant,31,unknown,unknown,1995,unknown,unknown,unknown,,1480.0,1350.0,4000.0,"semi-finished, finished rolled","galvanized, plate, pipe, cold rolled, hot rolled","automotive, building and infrastructure, energy, steel packaging, tools and machinery, transport",7000,2024-11-25 00:00:00,2025-04-01 00:00:00,no,BF; DRI; EAF; Iron other/unspecified; Steel other/unspecified; BOF,"515 MW natural gas-fired combined cycle power plant (1997), 500 MW natural gas-fired combined cycle power plant (2005); working to install a 989MW renewable energy (solar/wind) plant",Captive iron ore mines at Thakurani and Sagasahi in Odisha,unknown,21.112377,72.647304,31.0,6830.0,21.1123770,72.6473040,POINT (72.647304 21.112377)
97,P100000120040,ArcelorMittal Pecém steel plant,CSP - Companhia Siderúrgica do Pecém,CSP Pecém steel plant (predecessor),,ArcelorMittal Brasil SA,,E100001000493,4295859712,,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],5000030092 [97.1%]; unknown [2.9%],"Rod CE 155, Km 11.5, Pecém, São Gonçalo do Amarante, CE 62674-000, Brazil",,São Gonçalo do Amarante,Ceará,Brazil,Central & South America,"-3.5859170, -38.8589320",exact,https://www.gem.wiki/ArcelorMittal_Pecém_steel_plant,10,unknown,unknown,2016,unknown,unknown,unknown,,4747.0,1130.0,,"semi-finished, finished rolled","slab, plate","automotive, building and infrastructure, energy, transport",2500,2023-10-25 00:00:00,unknown,no,BF; BOF,onsite 218MW gas-fired power plant,unknown,unknown,-3.585917,-38.858932,10.0,5877.0,-3.5859170,-38.8589320,POINT (-38.858932 -3.585917)
104,P100000120034,ArcelorMittal Tubarão steel plant,Usina Siderúrgica de Tubarão,CST (Companhia Siderúrgica de Tubarão),,ArcelorMittal Tubarão Comercial SA,,E100001000507,4295860088,,ArcelorMittal Tubarão Comercial SA [100.0%],E100001000507 [100.0%],4295860088 [100.0%],"Avenida Brigadeiro Eduardo Gomes, nº 526, Bairro Polo Industrial Tubarão, Serra, Espirito Santo, Brazil",,"Tubarão, Serra",Espírito Santo,Brazil,Central & South America,"-20.2534470, -40.2422980",exact,https://www.gem.wiki/ArcelorMittal_Tubarão_steel_plant,43,unknown,unknown,1983,unknown,unknown,unknown,,6500.0,3254.0,,"semi-finished, finished rolled","galvanized, slab, coil, cold rolled","automotive, building and infrastructure, energy, tools and machinery, transport",5000,2024-03-16 00:00:00,unknown,2028-06-07 00:00:00,BF; BOF,Generates approximate 115% of energy required for production from gases from production process,unknown,unknown,-20.253447,-40.242298,43.0,9754.0,-20.2534470,-40.2422980,POINT (-40.242298 -20.253447)
105,P100000121028,ArcelorMittal Vanderbijlpark Steel Works,,,,ArcelorMittal South Africa Ltd,,E100001000504,4295888528,Partial,ArcelorMittal South Africa Ltd [100.0%],E100001000504 [100.0%],4295888528 [100.0%],"Delfos Boulevard, Vanderbijlpark, Gauteng Province, South Africa",,Vanderbijlpark,Gauteng,South Africa,Africa,"-26.6573670, 27.8223100",exact,https://www.gem.wiki/ArcelorMittal_Vanderbijlpark_Steel_Works,72.38,unknown,1947,1953-10-04 00:00:00,2025-01-07 00:00:00,unknown,unknown,,3100.0,1420.0,,"semi-finished, finished rolled","tinplate, galvanized, plate, coated, cold rolled, hot rolled, slab",unknown,4500,2025-03-18 00:00:00,unknown,no,BF; BOF; DRI; EAF,200 megawatt embedded solar installation,Thabazimbi Iron Ore Mine (P100000128609),unknown,-26.657367,27.82231,72.38,4520.0,-26.6573670,27.8223100,POINT (27.82231 -26.657367)
110,P100000120568,Arjas Steel Tadipatri plant,,Gerdau Steel India (predecessor),,Arjas Steel Pvt Ltd,,E100000130841,4297665844,,ADV Partners Holdings Ltd,E100001016284,unknown,"Jambulapadu(v) Tadipatri Mandal, Ananthpur District Andhra Pradesh, Pincode - 515411, India",,Tadipatri,Andhra Pradesh,India,Asia Pacific,"14.8734710, 78.0484250",exact,https://www.gem.wiki/Arjas_Steel_Tadipatri_plant,13.3,unknown,unknown,2012-11-01 00:00:00,unknown,unknown,unknown,,450.0,200.0,,"semi-finished, finished rolled","square, rounds, profile, bar","automotive, building and infrastructure, energy, steel packaging, tools and machinery, transport",1800,expired,2024-01-10 00:00:00,no,BF; BOF,two captive power plants (15 MW COG-based WHR power plant + 6 MW Blast furnace gas based); 20.4 MW Solar plant,SMIORE,unknown,14.873471,78.048425,13.3,650.0,14.8734710,78.0484250,POINT (78.048425 14.873471)
118,P100000120564,Atibir Industries Bhorandiha steel plant,,Atibir Industries Unit-II,,Atibir Industries Co Ltd,,E100000131001,5039942952,,Sribir Group of Companies,E100001016293,unknown,"Bhorandiha, Udnabad, Giridih (Jharkhand), India",,Bhorandiha,Jharkhand,India,Asia Pacific,"24.1452390, 86.3349990",exact,https://www.gem.wiki/Atibir_Industries_Bhorandiha_steel_plant,17,2008,unknown,2009,unknown,unknown,unknown,,680.0,300.0,300.0,"crude, semi-finished, finished rolled","pig iron, rolled",unknown,unknown,unknown,unknown,no,BF; BOF,3 MW WHRB,unknown,unknown,24.145239,86.334999,17.0,1280.0,24.1452390,86.3349990,POINT (86.334999 24.145239)
125,P100000120606,Bafgh Mineral Complex Iron and Steel Yazd plant,مجتمع فولاد بافق,"B-MISCO, Bafq Steel, Bafq Steel Complex",,Bafgh Mineral Complex Iron & Steel Co,,E100000131106,unknown,,Bafgh Mineral Complex Iron & Steel Co [100.0%],E100000131106 [100.0%],unknown [100.0%],"MCXR+V27, Bafq, Yazd Province, Iran",,Bafgh,Yazd,Iran,Middle East,"31.6993070, 55.4401870",exact,https://www.gem.wiki/Bafgh_Mineral_Complex_Iron_and_Steel_Yazd_plant,5,unknown,unknown,2021,unknown,unknown,unknown,,,,5000.0,"crude, semi-finished, finished rolled","rebar, pellets, sections, billet, coil, DRI, wire rod",unknown,4904,2022,unknown,no,DRI; EAF,unknown,Central Iranian Iron Ore Mine/ICIOC Choghart Mine (P100000128554),,31.699307,55.440187,5.0,5000.0,31.6993070,55.4401870,POINT (55.440187 31.699307)
