,GEM plant ID,Plant name (English),Plant name (other language),Other plant names (English),Other plant names (other language),Owner,Owner (other language),Owner GEM entity ID,Owner PermID,SOE status,Parent (English),Parent GEM entity ID,Parent PermID,Location address,Location address (other language),Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,GEM wiki page,Plant age,Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Steel products,Steel sector end users,Workforce size,ISO 14001,ISO 50001,ResponsibleSteel certification,Main production equipment,Power source,Iron ore source,Met coal source,latitude,longitude,Plant age (years),total_capacity,Lat,Lon,geometry
791,P100000120523,NMDC Nagarnar steel plant,,,,NMDC Steel Ltd,,E100002004554,5044197117,Partial,NMDC Steel Ltd [100.0%],E100002004554 [100.0%],5044197117 [100.0%],"Nagarnar, South Bastar, Chhattisgarh, India",,Nagarnar,Chhattisgarh,India,Asia Pacific,"19.0931901, 82.1700000",exact,https://www.gem.wiki/NMDC_Nagarnar_steel_plant,2.47,2008,2011,2023-08-31 00:00:00,unknown,unknown,unknown,,4663.0,1763.0,2000.0,finished rolled,"coil, sheet, plate","automotive, building and infrastructure, energy, tools and machinery, transport",5596,yes,unknown,no,BF; BOF,Barasur Substation,Bailadila mine,"Imported from China, Australia or New Zealand",19.0931901,82.17,2.47,8426.0,19.0931901,82.1700000,POINT (82.17 19.0931901)
795,P100000120420,Nová Hut Ostrava steel plant,,"Ostrava Steelworks, SPV NH Ostrava steel plant, GFG Liberty Ostrava steel plant, ArcelorMittal Ostrava a.s.",,Nová Huť sro,,E100002021471,5097010249,,SPV NH Ostrava sro [100.0%],E100002022007 [100.0%],unknown [100.0%],"Vratimovská 689/117, 719 00 Ostrava-Kunčice, Czech Republic",,Ostrava-Kunčice,Moravia-Silesia,Czech Republic,Europe,"49.7921390, 18.3098750",exact,https://www.gem.wiki/Nová_Hut_Ostrava_steel_plant,74,unknown,unknown,1952,unknown,2023-10-01 00:00:00,unknown,,,1200.0,,"semi-finished, finished rolled","wire rod, sections, strip, billet, slab, tube","building and infrastructure, energy, tools and machinery, transport",6000,2022,2022,no,EAF; BF; BOF,unknown,unknown,unknown,49.792139,18.309875,74.0,1200.0,49.7921390,18.3098750,POINT (18.309875 49.792139)
825,P100000121188,Orissa Alloy Steel Kharagpur Plant,,Rashmi Alloys Steel Pvt Ltd (formerly),,Orissa Metaliks Pvt Ltd,,E100001012161,5062177290,,small shareholder(s) [28.7%]; Cimmco Vinimay Pvt Ltd [16.6%]; Rashmi Iron Industries Pvt Ltd [9.1%]; Newera Commotrade Pvt Ltd [6.6%]; Rashmi Infrastructure Pvt Ltd [6.0%]; Bholebaba Consultants LLP [5.8%]; Rashmi Cement Ltd [5.7%]; Daffodil Plaza Pvt Ltd [5.7%]; Optimist Commosale Pvt Ltd [5.5%]; Rashidhan Sales Pvt Ltd [5.2%]; Rashmi Metaliks Ltd [5.0%]; natural person(s) [0.1%],E100001015587 [28.7%]; E100001012163 [16.6%]; E100001012171 [9.1%]; E100001012169 [6.6%]; E100001012170 [6.0%]; E100001012164 [5.8%]; E100001012079 [5.7%]; E100001012165 [5.7%]; E100001012168 [5.5%]; E100001012166 [5.2%]; E100000130890 [5.0%]; E100000123261 [0.1%],unknown [28.7%]; 5080163114 [16.6%]; unknown [9.1%]; unknown [6.6%]; 5086775134 [6.0%]; unknown [5.8%]; 4298177377 [5.7%]; unknown [5.7%]; 5086775048 [5.5%]; 5082449920 [5.2%]; 4298375168 [5.0%]; unknown [0.1%],"Mouza – Nandarchalk ,Bargai, Shyamraipur & Kanjarichak, Village – Gokulpur, P.O – Shyamraipur, P.S – Kharagpur (L), Dist. Paschim Medinipur , West Bengal, India",,Kharagpur,West Bengal,India,Asia Pacific,"22.3642580, 87.3090470",exact,https://www.gem.wiki/Orissa_Alloy_Steel_Kharagpur_Plant,5,2006,unknown,2021,unknown,unknown,unknown,,840.0,500.0,11000.0,finished rolled,"pipe, bar, di pipe",unknown,3000,unknown,unknown,no,DRI; IF; BF,270 MW Captive Power Plant (planned),"Barbil-Joda, Odisha","BCCL, Dhanbad and imported",22.364258,87.309047,5.0,12340.0,22.3642580,87.3090470,POINT (87.309047 22.364258)
826,P100000121187,Orissa Metaliks Kharagpur steel plant,,"OMPL, Orissa Metallurgical Industry Pvt Ltd (OMIPL)",,Orissa Metaliks Pvt Ltd,,E100001012161,5062177290,,small shareholder(s) [28.7%]; Cimmco Vinimay Pvt Ltd [16.6%]; Rashmi Iron Industries Pvt Ltd [9.1%]; Newera Commotrade Pvt Ltd [6.6%]; Rashmi Infrastructure Pvt Ltd [6.0%]; Bholebaba Consultants LLP [5.8%]; Rashmi Cement Ltd [5.7%]; Daffodil Plaza Pvt Ltd [5.7%]; Optimist Commosale Pvt Ltd [5.5%]; Rashidhan Sales Pvt Ltd [5.2%]; Rashmi Metaliks Ltd [5.0%]; natural person(s) [0.1%],E100001015587 [28.7%]; E100001012163 [16.6%]; E100001012171 [9.1%]; E100001012169 [6.6%]; E100001012170 [6.0%]; E100001012164 [5.8%]; E100001012079 [5.7%]; E100001012165 [5.7%]; E100001012168 [5.5%]; E100001012166 [5.2%]; E100000130890 [5.0%]; E100000123261 [0.1%],unknown [28.7%]; 5080163114 [16.6%]; unknown [9.1%]; unknown [6.6%]; 5086775134 [6.0%]; unknown [5.8%]; 4298177377 [5.7%]; unknown [5.7%]; 5086775048 [5.5%]; 5082449920 [5.2%]; 4298375168 [5.0%]; unknown [0.1%],"Village Gokulpur, P.O. Shyamraipur, P.S. Kharagpur, District West Medinipur, West Bengal, India",,Kharagpur,West Bengal,India,Asia Pacific,"22.3783550, 87.2817730",exact,https://www.gem.wiki/Orissa_Metaliks_Kharagpur_steel_plant,9,2008,unknown,2017,unknown,unknown,unknown,,,60.0,2200.0,semi-finished,"cold rolled, DRI, pellets, bar",unknown,unknown,unknown,unknown,no,BF; DRI; IF,83 MW Captive Power Plant (at Unit I),unknown,unknown,22.378355,87.281773,9.0,2260.0,22.3783550,87.2817730,POINT (87.281773 22.378355)
827,P100000120566,Orissa Metaliks Markuta steel plant,,"MSP Metallics Limited, MSPML (formerly), Adhunik Industries Private Limited (formerly)",,Orissa Metaliks Pvt Ltd,,E100001012161,5062177290,,small shareholder(s) [28.7%]; Cimmco Vinimay Pvt Ltd [16.6%]; Rashmi Iron Industries Pvt Ltd [9.1%]; Newera Commotrade Pvt Ltd [6.6%]; Rashmi Infrastructure Pvt Ltd [6.0%]; Bholebaba Consultants LLP [5.8%]; Rashmi Cement Ltd [5.7%]; Daffodil Plaza Pvt Ltd [5.7%]; Optimist Commosale Pvt Ltd [5.5%]; Rashidhan Sales Pvt Ltd [5.2%]; Rashmi Metaliks Ltd [5.0%]; natural person(s) [0.1%],E100001015587 [28.7%]; E100001012163 [16.6%]; E100001012171 [9.1%]; E100001012169 [6.6%]; E100001012170 [6.0%]; E100001012164 [5.8%]; E100001012079 [5.7%]; E100001012165 [5.7%]; E100001012168 [5.5%]; E100001012166 [5.2%]; E100000130890 [5.0%]; E100000123261 [0.1%],unknown [28.7%]; 5080163114 [16.6%]; unknown [9.1%]; unknown [6.6%]; 5086775134 [6.0%]; unknown [5.8%]; 4298177377 [5.7%]; unknown [5.7%]; 5086775048 [5.5%]; 5082449920 [5.2%]; 4298375168 [5.0%]; unknown [0.1%],"Markuta, P.O : Markuta, Jharsuguda, Jharsuguda- 768201, Jharsuguda, Odisha",,Markuta,Odisha,India,Asia Pacific,"21.8567470, 83.9662440",exact,https://www.gem.wiki/Orissa_Metaliks_Markuta_steel_plant,18,2004-11-27 00:00:00,unknown,2008,unknown,unknown,unknown,,460.0,240.0,600.0,"crude, semi-finished","bloom, billet, DRI",unknown,1100,unknown,unknown,no,BF; DRI; IF; BOF,"24 MW Captive power plant, proposed expansion to 275 MW","Barbil-Joda, Orissa","BCCL, Dhanbad or imported",21.856747,83.966244,18.0,1300.0,21.8567470,83.9662440,POINT (83.966244 21.856747)
829,P100000121189,Orissa Steel and Power Jhargram steel plant,,Rashmi Udyog Pvt Ltd,,Orissa Steel & Power Pvt Ltd,,E100001012078,5083805903,,Rashmi Cement Ltd [100.0%],E100001012079 [100.0%],4298177377 [100.0%],"Village – Jitusole & Baghmuri, P. O. – Garhsalboni, P. S. – Jhargram, District – Jhargram, State – West Bengal",,Jhargram,West Bengal,India,Asia Pacific,"22.3591000, 87.0171840",exact,https://www.gem.wiki/Orissa_Steel_and_Power_Jhargram_steel_plant,unknown,2015,unknown,unknown,unknown,unknown,unknown,,,,6400.0,"crude, semi-finished",rod,unknown,unknown,unknown,unknown,no,DRI; EAF; IF,245 MW Captive Power Plant,"Birmitrapur, Orissa/ Bilaspur, Chhattisgarh",BCCL Dhanbad or imported,22.3591,87.017184,,6400.0,22.3591000,87.0171840,POINT (87.017184 22.3591)
839,P100000120781,Pakistan Steel Mills Karachi,پاکستان سٹیل ملز,"Pakistan Steel Mills Corporation (Pvt.) Limited, PSM",,Pakistan Steel Mills Corp Pvt Ltd,,E100000130942,5000849104,Full,Pakistan Steel Mills Corp Pvt Ltd [100.0%],E100000130942 [100.0%],5000849104 [100.0%],"Pakistan Steel, Bin Qasim, Karachi 75000, Pakistan",,Karachi,Sindh,Pakistan,Asia Pacific,"24.8099770, 67.3524400",exact,https://www.gem.wiki/Pakistan_Steel_Mills_Karachi,43.41,1969-01-01 00:00:00,1973-12-30 00:00:00,1981,unknown,2015,2024-06-01 00:00:00,,,960.0,,"semi-finished, finished rolled","sheet, billet, coil, pig iron, slab",unknown,9350,yes,unknown,no,BF; BOF,110 MW thermal power plant and turbo blower station,unknown,unknown,24.809977,67.35244,43.41,960.0,24.8099770,67.3524400,POINT (67.35244 24.809977)
841,P100000120277,Pangang Group Panzhihua Steel Vanadium Co Ltd,攀钢集团攀枝花钢钒有限公司,,,Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,攀钢集团攀枝花钢钒有限公司,E100000123187,unknown,,Ansteel Group Co Ltd [100.0%],E100000124667 [100.0%],5037655487 [100.0%],unknown,四川省攀枝花市东区向阳村,Xiangyang,Sichuan,China,Asia Pacific,"26.5652650, 101.6737370",exact,https://www.gem.wiki/Pangang_Group_Panzhihua_Steel_Vanadium_Co_Ltd,61,unknown,unknown,1965,unknown,unknown,unknown,,13000.0,3450.0,,finished rolled,"rail, special","automotive, building and infrastructure, tools and machinery",8939,expired,expired,no,BF; BOF,unknown,unknown,unknown,26.565265,101.673737,61.0,16450.0,26.5652650,101.6737370,POINT (101.673737 26.565265)
844,P100000120775,Panhua Group Sarangani steel plant,,,,Panhua Group Co Ltd,,E100000131086,5079238817,,Panhua Group Co Ltd [100.0%],E100000131086 [100.0%],5079238817 [100.0%],"Kamanga Agro-Industrial Ecozone, Maasim, Sarangani, Philippines",,Maasim,Sarangani,Philippines,Asia Pacific,"5.8665500, 125.0787510",exact,https://www.gem.wiki/Panhua_Group_Sarangani_steel_plant,0,unknown,2022,2025-05-01 00:00:00,unknown,unknown,unknown,,2880.0,1200.0,,"semi-finished, finished rolled","galvanized, slab, coil, billet",building and infrastructure,30000,unknown,unknown,no,BF; BOF,"15-megawatt run-of-river hydroelectric power plant, South Cotabato Electric Cooperative, 60MW Gas Electric Generator",unknown,unknown,5.86655,125.078751,0.0,4080.0,5.8665500,125.0787510,POINT (125.078751 5.86655)
846,P100000120586,Pasargad Steel Complex Fars,مجتمع صنعتی ذوب آهن پاسارگاد,"Pasargad Alloy Steel Complex, Pasargad Steel Industrial Complex, PASCO","مجتمع فولاد پاسارگاد, صنایع فولاد آلیاژی پاسارگاد",Pasargad Steel Complex Co,,E100000131131,unknown,,Pasargad Steel Complex Co [100.0%],E100000131131 [100.0%],unknown [100.0%],"Kavar, Fars Province, Iran",,Kavar,Fars,Iran,Middle East,"29.1910190, 52.8454050",exact,https://www.gem.wiki/Pasargad_Steel_Complex_Fars,13,unknown,unknown,2013,unknown,unknown,unknown,,,,3400.0,"semi-finished, finished rolled","bloom, billet, wire rod, pipe","automotive, building and infrastructure, tools and machinery",unknown,2023,unknown,no,DRI; EAF,unknown,iron ore mines nationwide,,29.191019,52.845405,13.0,3400.0,29.1910190,52.8454050,POINT (52.845405 29.191019)
